wavenumber_cm-1,intensity
3326.8781302170282,3.2554074945743583e-12
3332.888146911519,2.7539717423511195e-11
3338.89816360601,2.1286118837387785e-10
3344.9081803005006,1.5031986148630578e-09
3350.918196994992,9.698825222971398e-09
3356.9282136894826,5.717481675698389e-08
3362.9382303839734,3.0794510947358194e-07
3368.948247078464,1.5153910683671853e-06
3374.958263772955,6.813323608817266e-06
3380.9682804674458,2.7988278863679067e-05
3386.9782971619366,0.00010504520906158054
3392.9883138564273,0.00036021283956986204
3398.998330550918,0.0011285609266957321
3405.008347245409,0.003230529511884376
3411.0183639398997,0.008448999754787134
3417.0283806343905,0.02018923039073788
3423.0383973288813,0.04407751606747495
3429.048414023372,0.08792195627484047
3435.0584307178633,0.1602361326887139
3441.068447412354,0.26681266982223334
3447.078464106845,0.4059152093250785
3453.0884808013357,0.5642181880059691
3459.0984974958265,0.7165421149627934
3465.1085141903172,0.8314176551379685
3471.118530884808,0.8814133935890739
3477.128547579299,0.8537346937910999
3483.1385642737896,0.7555254483443352
3489.1485809682804,0.610883149575091
3495.158597662771,0.4512841456088037
3501.168614357262,0.30459648584756116
3507.1786310517527,0.18783762250016894
3513.1886477462435,0.10583349994014521
3519.1986644407343,0.0544811939302205
3525.2086811352256,0.02562435580097748
3531.2186978297163,0.01101139083044109
3537.228714524207,0.004323289127887899
3543.238731218698,0.0015508481127332037
3549.2487479131887,0.0005082848120659558
3555.2587646076795,0.00015220463629789748
3561.2687813021703,4.164199352620633e-05
3567.278797996661,1.0409216100309966e-05
3573.288814691152,2.3773187688411355e-06
3579.2988313856426,4.960662666484228e-07
3585.3088480801334,9.457467407079562e-08
3591.318864774624,1.6473766011885577e-08
3597.328881469115,2.621765322112055e-09
3603.338898163606,3.8122170404353173e-10
3609.348914858097,5.0645901225301e-11
3615.358931552588,6.14743394436027e-12
3621.3689482470786,6.817518417575781e-13
3627.3789649415694,6.907830152428437e-14
3633.38898163606,6.394989907727103e-15
3639.398998330551,5.40904952665181e-16
3645.4090150250418,4.180083280190976e-17
3651.4190317195325,2.9514252781153955e-18
3657.4290484140233,1.9039762757917389e-19
3663.439065108514,1.1222100520312324e-20
3669.449081803005,6.0432374419992915e-22
3675.4590984974957,2.9733637597463824e-23
